,time,open,high,low,close,volume
6235,2022-11-10 05:17:00,178.49,178.59,178.36,178.36,2201
6236,2022-11-10 05:16:00,178.46,178.47,178.38,178.38,1903
6237,2022-11-10 05:15:00,178.36,178.36,178.32,178.35,1603
6238,2022-11-10 05:14:00,178.5,178.5,178.4,178.4,3251
6239,2022-11-10 05:13:00,178.51,178.51,178.5,178.5,2370
6240,2022-11-10 05:11:00,178.6,178.6,178.58,178.58,4077
6241,2022-11-10 05:10:00,178.6,178.6,178.6,178.6,1032
6242,2022-11-10 05:07:00,178.4,178.4,178.35,178.35,1859
6243,2022-11-10 05:06:00,178.37,178.37,178.3,178.3,1240
6244,2022-11-10 05:05:00,178.22,178.4,178.22,178.4,1192
6245,2022-11-10 05:04:00,178.31,178.31,178.11,178.2,5389
6246,2022-11-10 05:03:00,178.51,178.55,178.3,178.37,5571
6247,2022-11-10 05:02:00,178.54,178.54,178.54,178.54,685
6248,2022-11-10 05:01:00,178.5,178.53,178.5,178.53,2010
6249,2022-11-10 05:00:00,178.45,178.53,178.45,178.53,2262
6250,2022-11-10 04:59:00,178.46,178.46,178.45,178.45,850
6251,2022-11-10 04:58:00,178.46,178.46,178.46,178.46,750
6252,2022-11-10 04:57:00,178.5,178.5,178.43,178.43,2394
6253,2022-11-10 04:56:00,178.55,178.55,178.55,178.55,911
6254,2022-11-10 04:55:00,178.6,178.6,178.6,178.6,1041
6255,2022-11-10 04:54:00,178.55,178.55,178.55,178.55,798
6256,2022-11-10 04:53:00,178.65,178.65,178.61,178.61,1932
6257,2022-11-10 04:52:00,178.69,178.69,178.64,178.64,3967
6258,2022-11-10 04:51:00,178.75,178.76,178.69,178.69,941
6259,2022-11-10 04:50:00,178.7,178.7,178.7,178.7,1405
6260,2022-11-10 04:48:00,178.67,178.7,178.67,178.7,1846
6261,2022-11-10 04:47:00,178.5,178.66,178.5,178.66,5640
6262,2022-11-10 04:46:00,178.49,178.5,178.49,178.49,1827
6263,2022-11-10 04:45:00,178.47,178.47,178.43,178.43,737
6264,2022-11-10 04:44:00,178.37,178.37,178.37,178.37,1505
6265,2022-11-10 04:43:00,178.38,178.4,178.38,178.4,1090
6266,2022-11-10 04:41:00,178.47,178.48,178.47,178.48,830
6267,2022-11-10 04:40:00,178.5,178.55,178.5,178.55,1678
6268,2022-11-10 04:38:00,178.51,178.51,178.5,178.5,2676
6269,2022-11-10 04:37:00,178.21,178.69,178.21,178.69,10864
6270,2022-11-10 04:36:00,178.27,178.28,178.2,178.28,2752
6271,2022-11-10 04:35:00,178.3,178.32,178.29,178.3,2970
6272,2022-11-10 04:34:00,178.44,178.44,178.31,178.31,5166
6273,2022-11-10 04:33:00,178.5,178.5,178.32,178.32,3144
6274,2022-11-10 04:32:00,178.62,178.68,178.43,178.43,5442
6275,2022-11-10 04:31:00,178.37,178.5,178.32,178.5,9221
6276,2022-11-10 04:30:00,178.22,178.34,178.22,178.34,2692
6277,2022-11-10 04:29:00,178.1,178.33,178.1,178.33,2419
6278,2022-11-10 04:28:00,177.98,178.05,177.98,178.05,3618
6279,2022-11-10 04:27:00,178.0,178.0,177.87,177.9,3776
6280,2022-11-10 04:26:00,178.08,178.09,178.0,178.0,3963
6281,2022-11-10 04:25:00,177.92,178.05,177.9,178.05,8854
6282,2022-11-10 04:24:00,177.89,177.93,177.8,177.8,3979
